15 11
14 10
13 9
13 8
12 7
12 6
12 5
12 4
12 5
13 6
14 7
15 8
15 7
15 6
15 5
16 4
16 3
17 4
17 5
17 6
17 7
18 6
19 5
20 4
21 3
22 2
22 3
22 4
22 5
21 6
21 7
21 8
20 9
19 10
20 10
21 10
22 10
23 9
24 9
25 9
24 10
24 11
24 12
23 13
23 14
22 15
21 16
22 16
23 16
24 15
25 14
26 14
26 15
26 16
25 17
25 18
24 19
24 20
23 21
22 22
21 23
20 24
19 25
19 26
19 27
19 28
20 29
20 30
20 31
20 32
20 33
20 34
20 35
20 36
20 37
20 38
19 38
19 37
19 36
19 35
19 34
19 33
19 32
19 31
19 30
19 29
19 28
19 27
18 26
18 25
18 24
17 24
16 24
15 23
14 23
13 22
12 21
11 20
10 19
9 18
8 17
8 16
7 15
8 15
9 16
10 16
11 16
12 16
13 16
12 15
11 14
11 13
10 12
10 11
9 10
10 10
11 11
12 11
13 11
14 11
